Batch #,Form Date,Step,Complete,Worker,Worker Date,Inspector,Inspector Date,After 11/9?
--- BATCH #1: PXL_20260307_231526794.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,,,,,,,,
1,,Tubed,TRUE,Jack,?,,,
1,,End rounded,TRUE,RF,8/17/25,,,
1,,Rounded end sealed,TRUE,RF,8/20/25,,,
1,,Rounded end sewn,TRUE,MD,10/13/25,,,
1,,Second cross bar sewn,TRUE,MD,10/13/25,,,
1,,Backplate riveted,TRUE,MN,9/10,,,
1,,Windlass & buckle added,TRUE,MN,9/10,,,n
1,,Buckle sewn,TRUE,MD,10/13/25,,,
1,,Clip added,TRUE,RF,,,,
1,,Hook & loop adhered to clip,TRUE,RF,,,,
1,,Final inspection,FALSE,,,,,
1,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #2: PXL_20260307_231054205.jpg | Date: n/a | Type: SEW | 11/12 steps complete ---,,,,,,,,
2,,Tubed,TRUE,,,,,
2,,End rounded,TRUE,YJF,8/14/25,,,
2,,Rounded end sealed,TRUE,AB,8/20/25,,,
2,,Rounded end sewn,TRUE,MD,12/27/25,,,
2,,Second cross bar sewn,TRUE,MD,12/27/25,,,
2,,Backplate riveted,TRUE,AB,8/20/25,,,
2,,Windlass & buckle added,TRUE,,,,,?
2,,Buckle sewn,TRUE,MD,12/27/25,,,
2,,Clip added,TRUE,JE,1/21/26,,,
2,,Hook & loop adhered to clip,TRUE,JE,1/28/26,,,
2,,Final inspection,TRUE,MJ/AB,2/18/26,,,
2,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #3: PXL_20260307_231109147.jpg | Date: 11/2/25 | Type: SEW | 10/12 steps complete ---,Lot 3,,,,,,,
3,11/2/25,Tubed,TRUE,,,,,
3,11/2/25,End rounded,TRUE,AB,1/19/26,,,
3,11/2/25,Rounded end sealed,TRUE,AB,1/19/26,,,
3,11/2/25,Rounded end sewn,TRUE,MM,2/14,,,
3,11/2/25,Second cross bar sewn,TRUE,MM,2/14,,,
3,11/2/25,Backplate riveted,TRUE,AB,1/21/26,,,
3,11/2/25,Windlass & buckle added,TRUE,MS,1/19/26,,,y
3,11/2/25,Buckle sewn,TRUE,MD,2/14,,,
3,11/2/25,Clip added,TRUE,MS,1/19/26,,,
3,11/2/25,Hook & loop adhered to clip,TRUE,MU,2/18/26,,,
3,11/2/25,Final inspection,FALSE,,,,,
3,11/2/25,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #4: PXL_20260307_231122689.jpg | Date: n/a | Type: SEW | 11/12 steps complete ---,Lot 2,,,,,,,
4,,Tubed,TRUE,,,,,
4,,End rounded,TRUE,MJ,7/3,,,
4,,Rounded end sealed,TRUE,RF,8/20/25,,,
4,,Rounded end sewn,TRUE,MD,1/17/26,,,
4,,Second cross bar sewn,TRUE,MD,1/17/26,,,
4,,Backplate riveted,TRUE,SKS,7/30/25,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,,Windlass & buckle added,TRUE,MJ,8/20/25,,,n
4,,Buckle sewn,TRUE,MJ,1/17/26,,,
4,,Clip added,TRUE,MJ,8/27,,,
4,,Hook & loop adhered to clip,TRUE,MJ,8/27,,,
4,,Final inspection,TRUE,MJ,7/11/26,,,
4,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #5: PXL_20260307_231137613.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,,,,,,,,
5,,Tubed,TRUE,Jack,,,,
5,,End rounded,TRUE,RF,8/14/25,,,
5,,Rounded end sealed,TRUE,SKS,9/29/25,,,
5,,Rounded end sewn,TRUE,MM,1/17/26,,,
5,,Second cross bar sewn,TRUE,MM,1/17/26,,,
5,,Backplate riveted,TRUE,MS,9/17,,,
5,,Windlass & buckle added,TRUE,Bee,9/26,,,n
5,,Buckle sewn,TRUE,MM,1/17/26,,,
5,,Clip added,TRUE,JK,1/28/26,,,
5,,Hook & loop adhered to clip,TRUE,JK,1/28/26,,,
5,,Final inspection,FALSE,JK,2/20,,,
5,,Bagged,FALSE,,,,,
,,,,,,,,
--- BATCH #6: PXL_20260307_231149949.jpg | Date: n/a | Type: SEW | 10/12 steps complete ---,Lot 3,,,,,,,
6,,Tubed,TRUE,,,,,
6,,End rounded,TRUE,AB,,,,
6,,Rounded end sealed,FALSE,,,,,
6,,Rounded end sewn,TRUE,MD,,,,
6,,Second cross bar sewn,TRUE,MD,,,,
6,,Backplate riveted,TRUE,AB,,,,
6,,Windlass & buckle added,TRUE,MJ,,,,?
6,,Buckle sewn,TRUE,MD,,,,
6,,Clip added,TRUE,MJ,,,,
